id,title,subtitle,authors,isbn,publisherName,publicationYear,editionNumber,active,selectable,type,found,error
50655984,"Στοιχεία Υπολογισμού και Διαμόρφωσης Ολόσωμων Κατασκευών, 3η Έκδοση",,Καραβεζύρογλου Βέμπερ Μ.,9789604185535,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2015,3η,True,True,Published,True,
50656355,ΜΕΛΕΤΗ ΚΑΤΑΣΚΕΥΩΝ ΑΠΟ ΟΠΛΙΣΜΕΝΟ ΣΚΥΡΟΔΕΜΑ,ΣΥΜΦΩΝΑ ΜΕ ΤΟΝ ΕΥΡΩΚΩΔΙΚΑ 2,"BILL MOSLEY, JOHN BUNGEY, RAY HULSE",9789604616695,ΕΚΔΟΣΕΙΣ ΚΛΕΙΔΑΡΙΘΜΟΣ ΕΠΕ,2016,7η Αγγλική,True,True,Published,True,
50658954,Ανάλυση Ραβδωτών Φορέων με Μητρωικές Μεθόδους- Μέθοδος Αμεσης Στιβαρότητας,,Παπαδρακάκης Μ. Σαπουντζάκης Ε.Ι.,9786185066413,ΤΣΟΤΡΑΣ ΑΝ ΑΘΑΝΑΣΙΟΣ,2016,1η,True,True,Published,True,
50659226,Εδαφικές ιδιότητες από επί τόπου δοκιμές,,"Αναγνωστόπουλος Α., Ανδρέου Π., Αναγνωστόπουλος Γ.",9789609400497,ΚΑΛΑΜΑΡΑ ΕΛΛΗ,2014,1η,True,True,Published,True,
50659228,Σχεδιασμός των Θεμελιώσεων,,"Αναγνωστόπουλος Α., Παπαδόπουλος Β.",9789609400503,ΚΑΛΑΜΑΡΑ ΕΛΛΗ,2016,1η,True,True,Published,True,
50659236,Θεμελιώσεις με πασσάλους,,"Αναγνωστόπουλος Α. Γ., Παπαδόπουλος Β. Π.",9789607888501,ΚΑΛΑΜΑΡΑ ΕΛΛΗ,2004,1η,True,True,Published,True,
50659248,Εδαφοδυναμική και σεισμική μηχανική,Ιστορικά περιστατικά,Γκαζέτας Γ.,9789607346346,ΚΑΛΑΜΑΡΑ ΕΛΛΗ,1996,1η,True,True,Published,True,
50659263,Μη γραμμική θεωρία ελαστικής ευστάθειας,Με στοιχεία από την Θεωρίαν Καταστροφών,Κουνάδης Α.,9789607888440,ΚΑΛΑΜΑΡΑ ΕΛΛΗ,2004,2η,True,True,Published,True,
50660011,Επιλογές εφαρμοσμένης γεωτεχνικής μηχανικής,,Χριστούλας Στ.,9789607888112,ΚΑΛΑΜΑΡΑ ΕΛΛΗ,1998,1η,True,True,Published,True,
50662643,Γεωτεχνική Μηχανική. Έρευνα-Γεωτρήσεις-Εργαστήριο,,"Παπαχαρίσης Νικόλαος, Γραμματικόπουλος Ιωάννης, Ανδρεάδου-Μάνου Νίκη",9786185105884,ΕΚΔΟΣΕΙΣ ΚΥΡΙΑΚΙΔΗ ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,2015,3,True,True,Published,True,
50662652,Γεωδαισία Ι: Γεωδαιτικές μετρήσεις και υπολογισμοί,,"Σαββαϊδης Παρασκευάς, Υφαντής Ιωάννης, Δούκας Ιωάννης",9786185105921,ΕΚΔΟΣΕΙΣ ΚΥΡΙΑΚΙΔΗ ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,2015,1,True,True,Published,True,
50662654,Γεωδαισία ΙΙ: Τοπογραφικές Αποτυπώσεις -Χαράξεις,,"Σαββαϊδης Παρασκευάς, Υφαντής Ιωάννης, Δούκας Ιωάννης",9786185105938,ΕΚΔΟΣΕΙΣ ΚΥΡΙΑΚΙΔΗ ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,2015,1,True,True,Published,True,
50662962,Ενεργειακός σχεδιασμός και παθητικά ηλιακά συστήματα κτιρίων,Δομική Φυσική ΙΙ,"Παπαδόπουλος Μιχάλης, Αξαρλή Κλειώ",9789605990190,ΕΚΔΟΣΕΙΣ ΚΥΡΙΑΚΙΔΗ ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,2015,1,True,True,Published,True,
59358514,Αρχιτεκτονική,"Μορφή, Χώρος και Διάταξη",Francis D.K.Ching,9786185173159,UTOPIA ΕΚΔΟΣΕΙΣ Μ. ΕΠΕ.,2016,4η Αμερικανική-1η Ελληνική,True,True,Published,True,
59362731,Αλληλεπίδραση Εδάφους - Θεμελίου - Κατασκευής,,Γκαζέτας .Γ,9786185066680,ΤΣΟΤΡΑΣ ΑΝ ΑΘΑΝΑΣΙΟΣ,2016,2η,True,True,Published,True,
59362766,Στοιχεία Εδαφομηχανικής 2η εκδοση,,Καββαδάς . Μιχαήλ,9786185066628,ΤΣΟΤΡΑΣ ΑΝ ΑΘΑΝΑΣΙΟΣ,2016,2η,True,True,Published,True,
59364934,Αρχιτεκτονική τεχνολογία (Γ΄ έκδοση),,Τσινίκας Νίκος,9789601222592,UNIVERSITY STUDIO PRESS - ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΙΑ ΓΡΑΦΙΚΩΝ ΤΕΧΝΩΝ ΚΑΙ ΕΚΔΟΣΕΩΝ,2016,3η έκδ.,True,True,Published,True,
59365814,Οικονομική των Μεταφορών,,Προφυλλίδης Βασίλης,9789604911004,Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.,2016,5η εκδ.,False,False,Published,True,
59366084,Σχεδιασμός Μεταφορικών Συστημάτων,,"Σταθόπουλος Αντώνης Γ.,Καρλαύτης Ματθαίος",9789604911011,Α. ΠΑΠΑΣΩΤΗΡΙΟΥ & ΣΙΑ Ι.Κ.Ε.,2016,2η εκδ.,True,True,Published,True,
59367707,Λογισμός συναρτήσεων μιας μεταβλητής με στοιχεία διανυσματικής και γραμμικής άλγεβρας,,ΤΕΡΖΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ,9789606020797,ΑΦΟΙ ΚΥΡΙΑΚΙΔΗ ΕΚΔΟΣΕΙΣ Α.Ε.,2016,1,True,True,Published,True,
