Τίτλος,Καθηγητής,Κωδικός μαθήματος,Εξάμηνο,Περίοδος,Από που δίνονται τα βιβλία,Book id,Σειρά επιλογής,Ενεργό
Συστήματα Αστικών Μεταφορών,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ009,7,Ximerino,EUDOXUS,45443,0,true
Συστήματα Αστικών Μεταφορών,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ009,7,Ximerino,EUDOXUS,133044998,2,true
Συστήματα Αστικών Μεταφορών,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ009,7,Ximerino,EUDOXUS,14922,1,true
Οικονομία Μεταφορών,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ010,7,Ximerino,EUDOXUS,22943,1,true
Οικονομία Μεταφορών,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ010,7,Ximerino,EUDOXUS,77119166,2,true
Οικονομία Μεταφορών,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ010,7,Ximerino,EUDOXUS,143564178,0,true
Βιώσιμη Αστική Κινητικότητα,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ011,7,Ximerino,EUDOXUS,33154038,0,true
Βιώσιμη Αστική Κινητικότητα,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ011,7,Ximerino,EUDOXUS,86197319,1,true
Υδραυλική των ανοιχτών αγωγών και ποταμών,,ΥΔΡ006,7,Ximerino,EUDOXUS,77107649,2,true
Υδραυλική των ανοιχτών αγωγών και ποταμών,,ΥΔΡ006,7,Ximerino,EUDOXUS,995,1,true
Υδραυλική των ανοιχτών αγωγών και ποταμών,,ΥΔΡ006,7,Ximerino,EUDOXUS,68372423,0,true
Υπολογιστική Ρευστομηχανική,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ008,7,Ximerino,EUDOXUS,59374709,2,true
Υπολογιστική Ρευστομηχανική,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ008,7,Ximerino,EUDOXUS,133024765,0,true
Υπολογιστική Ρευστομηχανική,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ008,7,Ximerino,EUDOXUS,59397206,1,true
Οπλισμένο Σκυρόδεμα ΙΙΙ,ΠΑΝΑΓΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ,ΔΟΜ024,8,Earino,EUDOXUS,102073543,0,true
