Τίτλος,Καθηγητής,Κωδικός μαθήματος,Εξάμηνο,Περίοδος,Από που δίνονται τα βιβλία,Book id,Σειρά επιλογής,Ενεργό
Σχεδιασμός και Λειτουργία Σιδηροδρομικών Συστημάτων,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ016,9,Ximerino,EUDOXUS,59390769,1,true
Σχεδιασμός και Λειτουργία Σιδηροδρομικών Συστημάτων,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ016,9,Ximerino,EUDOXUS,12867047,2,true
Σχεδιασμός και Λειτουργία Θαλάσσιων Συστημάτων,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ018,9,Ximerino,EUDOXUS,15041,0,true
Σχεδιασμός και Λειτουργία Θαλάσσιων Συστημάτων,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ018,9,Ximerino,EUDOXUS,12559142,1,true
Σχεδιασμός και Λειτουργία Θαλάσσιων Συστημάτων,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ018,9,Ximerino,EUDOXUS,143564178,4,true
Σχεδιασμός και Λειτουργία Θαλάσσιων Συστημάτων,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ018,9,Ximerino,EUDOXUS,12743,2,true
Σχεδιασμός και Λειτουργία Θαλάσσιων Συστημάτων,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ018,9,Ximerino,EUDOXUS,22937,3,true
Σχεδιασμός και Λειτουργία Θαλάσσιων Συστημάτων,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ018,9,Ximerino,EUDOXUS,143547568,5,true
Σχεδιασμός και Λειτουργία Αεροπορικών Συστημάτων,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ019,9,Ximerino,EUDOXUS,86055658,2,true
Σχεδιασμός και Λειτουργία Αεροπορικών Συστημάτων,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ019,9,Ximerino,EUDOXUS,12866947,1,true
Σχεδιασμός και Λειτουργία Αεροπορικών Συστημάτων,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ019,9,Ximerino,EUDOXUS,143567102,3,true
Σχεδιασμός και Λειτουργία Αεροπορικών Συστημάτων,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ019,9,Ximerino,EUDOXUS,122087848,0,true
Πολιτική Μεταφορών,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ020,9,Ximerino,EUDOXUS,59390769,3,true
Πολιτική Μεταφορών,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ020,9,Ximerino,EUDOXUS,11295,4,true
Πολιτική Μεταφορών,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ020,9,Ximerino,EUDOXUS,22937,1,true
Πολιτική Μεταφορών,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ020,9,Ximerino,EUDOXUS,122087848,2,true
Πολιτική Μεταφορών,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ020,9,Ximerino,EUDOXUS,143564178,0,true
Υδραυλικές Κατασκευές & Φράγματα,ΚΟΚΚΙΝΟΣ ΑΓΓΕΛΟΣ,ΥΔΡ014,9,Ximerino,EUDOXUS,9780,0,true
Υδραυλικές Κατασκευές & Φράγματα,ΚΟΚΚΙΝΟΣ ΑΓΓΕΛΟΣ,ΥΔΡ014,9,Ximerino,EUDOXUS,77118601,1,true
Εγγειοβελτιωτικά Έργα – Αρδεύσεις,,ΥΔΡ015,9,Ximerino,EUDOXUS,41960118,0,true
Υδροδυναμική και Κατασκευές,,ΥΔΡ016,9,Ximerino,EUDOXUS,133024765,1,true
Υδροδυναμική και Κατασκευές,,ΥΔΡ016,9,Ximerino,EUDOXUS,86054605,0,true
Σύγχρονα ενεργειακά συστήματα θάλασσας,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ017,9,Ximerino,EUDOXUS,94690348,0,true
Οικοδομική ΙΙ,ΒΛΑΧΟΝΑΣΙΟΥ ΕΛΕΝΗ,ΔΟΜ022,9,Ximerino,EUDOXUS,17440,2,true
Οικοδομική ΙΙ,ΒΛΑΧΟΝΑΣΙΟΥ ΕΛΕΝΗ,ΔΟΜ022,9,Ximerino,EUDOXUS,12425,0,true
Οικοδομική ΙΙ,ΒΛΑΧΟΝΑΣΙΟΥ ΕΛΕΝΗ,ΔΟΜ022,9,Ximerino,EUDOXUS,86198313,1,true
Σύμμικτες Κατασκευές,ΚΑΖΑΝΤΖΗ ΑΘΑΝΑΣΙΑ,ΔΟΜ036,9,Ximerino,EUDOXUS,77117458,0,true
Σύμμικτες Κατασκευές,ΚΑΖΑΝΤΖΗ ΑΘΑΝΑΣΙΑ,ΔΟΜ036,9,Ximerino,EUDOXUS,122076754,1,true
Σύμμικτες Κατασκευές,ΚΑΖΑΝΤΖΗ ΑΘΑΝΑΣΙΑ,ΔΟΜ036,9,Ximerino,EUDOXUS,13838,1,true
Αντισεισμικός Σχεδιασμός,ΚΑΖΑΝΤΖΗ ΑΘΑΝΑΣΙΑ,ΔΟΜ023,8,Earino,EUDOXUS,86193772,1,true
Αντισεισμικός Σχεδιασμός,ΚΑΖΑΝΤΖΗ ΑΘΑΝΑΣΙΑ,ΔΟΜ023,8,Earino,EUDOXUS,143556547,3,true
Αντισεισμικός Σχεδιασμός,ΚΑΖΑΝΤΖΗ ΑΘΑΝΑΣΙΑ,ΔΟΜ023,8,Earino,EUDOXUS,112694732,2,true
Αντισεισμικός Σχεδιασμός,ΚΑΖΑΝΤΖΗ ΑΘΑΝΑΣΙΑ,ΔΟΜ023,8,Earino,EUDOXUS,12534933,0,true
Γεφυροποιϊα - Τεχνικά έργα οδοποιίας,ΚΑΖΑΝΤΖΗ ΑΘΑΝΑΣΙΑ,ΔΟΜ032,9,Ximerino,EUDOXUS,13963,0,true
Γεφυροποιϊα - Τεχνικά έργα οδοποιίας,ΚΑΖΑΝΤΖΗ ΑΘΑΝΑΣΙΑ,ΔΟΜ032,9,Ximerino,EUDOXUS,59373750,1,true
Υπολογιστική Γεωτεχνική Μηχανική,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ015,9,Ximerino,EUDOXUS,13937,0,true
Φράγματα και χωμάτινες κατασκευές,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ016,9,Ximerino,EUDOXUS,68380141,1,true
Φράγματα και χωμάτινες κατασκευές,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ016,9,Ximerino,EUDOXUS,77118601,0,true
Αλληλεπίδραση Εδάφους-Κατασκευής,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ017,9,Ximerino,EUDOXUS,13937,0,true
Αλληλεπίδραση Εδάφους-Κατασκευής,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ - ΦΩΤΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ,ΓΕΩ017,9,Ximerino,EUDOXUS,59362731,1,true
Γεωλογία Μηχανικού,,ΓΕΩ001,3,Ximerino,EUDOXUS,94689555,0,true
Γεωλογία Μηχανικού,,ΓΕΩ001,3,Ximerino,EUDOXUS,112696567,2,true
Γεωλογία Μηχανικού,,ΓΕΩ001,3,Ximerino,EUDOXUS,133029958,3,true
Γεωλογία Μηχανικού,,ΓΕΩ001,3,Ximerino,EUDOXUS,112693647,1,true
Τεχνολογία Δομικών Υλικών Ι,,ΔΟΜ002,1,Ximerino,EUDOXUS,143557280,2,true
Τεχνολογία Δομικών Υλικών Ι,,ΔΟΜ002,1,Ximerino,EUDOXUS,112704727,1,true
Τεχνολογία Δομικών Υλικών Ι,,ΔΟΜ002,1,Ximerino,EUDOXUS,13875,0,true
Τεχνολογία Δομικών Υλικών ΙΙ,,ΔΟΜ005,2,Earino,EUDOXUS,143557280,2,true
Τεχνολογία Δομικών Υλικών ΙΙ,,ΔΟΜ005,2,Earino,EUDOXUS,13875,0,true
Τεχνολογία Δομικών Υλικών ΙΙ,,ΔΟΜ005,2,Earino,EUDOXUS,112704727,1,true
Οικοδομική Ι,,ΔΟΜ007,3,Ximerino,EUDOXUS,45371,0,true
Οικοδομική Ι,,ΔΟΜ007,3,Ximerino,EUDOXUS,59364934,2,true
Οικοδομική Ι,,ΔΟΜ007,3,Ximerino,EUDOXUS,17440,1,true
Οικοδομική Ι,,ΔΟΜ007,3,Ximerino,EUDOXUS,94642845,3,true
Τεχνική Μηχανική ΙΙ,,ΔΟΜ008,3,Ximerino,EUDOXUS,77107480,0,true
Περιβαλλοντική Τεχνική,ΤΣΟΧΑΤΖΙΔΗΣ,ΥΔΡ001,3,Ximerino,EUDOXUS,41959119,2,true
Περιβαλλοντική Τεχνική,ΤΣΟΧΑΤΖΙΔΗΣ,ΥΔΡ001,3,Ximerino,EUDOXUS,143567132,3,true
Περιβαλλοντική Τεχνική,ΤΣΟΧΑΤΖΙΔΗΣ,ΥΔΡ001,3,Ximerino,EUDOXUS,59374011,1,true
Περιβαλλοντική Τεχνική,ΤΣΟΧΑΤΖΙΔΗΣ,ΥΔΡ001,3,Ximerino,EUDOXUS,86054621,0,true
